Keyword,Seed keyword,Volume,Keyword Difficulty,Intent,SERP Features
inburgering,inburgering,33100,49,Navigational,"Local Pack, Site Links, People Also Ask, Related Searches"
inburgeringsexamen,inburgeringsexamen,8100,40,Informational,"Reviews, Video, People Also Ask, Related Searches, AI Overview"
duo inburgering,inburgering,6600,38,Navigational,"People Also Ask, Related Searches, Knowledge Panel, Site Links, Video"
inburgeren,inburgering,5400,35,Navigational,"Related Searches, Site Links, Video, People Also Ask"
inburgering exam,inburgering,4400,41,Navigational,"Site Links, People Also Ask, Related Searches"
inburgering online,inburgering,3600,46,"Navigational, Transactional","Video, People Also Ask, Related Searches, Knowledge Panel, Reviews"
inburgering examen oefenen,inburgering,1900,35,Informational,"Video, Video Carousel, People Also Ask, Related Searches"
inburgering examen a2,inburgering,1300,34,Informational,"Video, Video Carousel, People Also Ask, Related Searches"
inburgering oefenen,inburgering,1300,34,"Informational, Transactional","Image Pack, Video, Video Carousel, Related Searches"
inburgeringsexamen oefenen,inburgeringsexamen,1300,32,Informational,"Video, Video Carousel, People Also Ask, Related Searches"
oefenen examen a2,a2 examen,1300,18,Informational,"Image Pack, Video, Video Carousel, Related Searches"
oefenen voor inburgering,inburgering,880,18,Informational,"Video, Video Carousel, People Also Ask, Related Searches"
inburgering practice exam,inburgering,880,25,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Reviews"
inburgering examen oefenen a2,inburgering,880,23,"Informational, Transactional","Video, Video Carousel, People Also Ask, Related Searches"
examen oefenen inburgering,inburgering,880,29,"Informational, Transactional","Video, Video Carousel, People Also Ask, Related Searches"
inburgering practice exams,inburgering,720,27,Informational,"Video Carousel, Related Searches, Reviews, Video"
examen inburgering a2,inburgering,720,41,"Informational, Transactional","Reviews, Video, Video Carousel, People Also Ask, Related Searches"
examen inburgering oefenen,inburgering,720,35,Informational,"Video, Video Carousel, People Also Ask, Related Searches"
inburgering oefenexamen,inburgering,720,34,Informational,"Video, Video Carousel, Related Searches"
inburgen,inburgering,590,30,Navigational,"Site Links, Video, Related Searches"
inburgering a1,inburgering,590,32,Navigational,"Related Searches, Site Links, Video, Adwords Bottom, Video Carousel, People Also Ask"
inburgering a2,inburgering,590,38,"Informational, Transactional","Video, Video Carousel, People Also Ask, Related Searches"
fraude inburgeringsexamen,inburgeringsexamen,590,19,Informational,"Related Searches, AI Overview, Video, People Also Ask"
inburgering exam practice,inburgering,480,23,Informational,"Related Searches, Site Links, Reviews, Video, Video Carousel"
wet inburgering 2021,inburgering,480,16,Informational,"Video, People Also Ask, Related Searches, AI Overview"
inburgeringsexamen a1,inburgeringsexamen,480,32,"Informational, Transactional","Related Searches, AI Overview, Reviews, Video, Video Carousel, People Also Ask"
